问题id,问题,SQL,SQL结果,预测SQL,SQL正确,预测SQL结果,结果正确
14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '安信稳健回报6个月持有期混合A'
AND t1.持仓日期 = '20211231'
AND t1.报告类型 = '年报(含半年报)'
AND t2.行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '银行'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '安信稳健回报6个月持有期混合A'
AND t1.持仓日期 = '20211231'
AND t1.报告类型 = '年报(含半年报)'
AND t2.行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '银行'}],True
18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,"SELECT COUNT(*) AS 数量
FROM 基金份额持有人结构
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '华夏基金管理有限公司'
)
AND 定期报告所属年度 = 2019
AND 报告类型 = '中期报告'
AND 机构投资者持有的基金份额 > 个人投资者持有的基金份额
LIMIT 1;",[{'数量': 7}],"SELECT COUNT(*) AS 数量
FROM 基金份额持有人结构
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '华夏基金管理有限公司'
)
AND 定期报告所属年度 = 2019
AND 报告类型 = '中期报告'
AND 机构投资者持有的基金份额 > 个人投资者持有的基金份额
LIMIT 1;",True,[{'数量': 7}],True
19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2021%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '银行'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",[{'股票代码': '601528'}],"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2021%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '银行'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",True,[{'股票代码': '601528'}],True
20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20201022'
AND 行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'一级行业名称': '机械'}],"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY COUNT(*) DESC
LIMIT 1;",False,[{'一级行业名称': '机械'}],True
22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '招商安润灵活配置混合A'
        AND 持仓日期 = '20210630'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20210101' AND '20210630'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",[{'数量': 8}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '招商安润灵活配置混合A'
        AND 持仓日期 = '20210630'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20210101' AND '20210630'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",True,[{'数量': 8}],True
23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(市值), 3) AS 平均市值
FROM 基金股票持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.持仓日期 = '20201231'
AND t1.基金代码 = '007678'
AND t1.第N大重仓股 <= 20
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '照明电工及其他'
LIMIT 1;",[{'平均市值': 2238220.0}],"SELECT ROUND(AVG(市值), 3) AS 平均市值
FROM 基金股票持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.持仓日期 = '20201231'
AND t1.基金代码 = '007678'
AND t1.第N大重仓股 <= 20
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '照明电工及其他'
LIMIT 1;",True,[{'平均市值': 2238220.0}],True
25,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190121'
AND t2.一级行业名称 = '非银行金融'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 5
LIMIT 1;",[{'数量': 1}],"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190121'
AND t2.一级行业名称 = '非银行金融'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 5
LIMIT 1;",True,[{'数量': 1}],True
26,请查询：在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190118'
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '银行'
LIMIT 1;",[{'平均成交金额': 456321251.1}],"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190118'
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '银行'
LIMIT 1;",True,[{'平均成交金额': 456321251.1}],True
28,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2021
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 > 机构投资者持有的基金份额
)
AND 基金类型 = '货币型'
LIMIT 1;",[{'数量': 10}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2021
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 > 机构投资者持有的基金份额
)
AND 基金类型 = '货币型'
LIMIT 1;",True,[{'数量': 10}],True
29,我想知道圆信永丰高端制造混合基金，在2020年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '圆信永丰高端制造混合'
        AND 持仓日期 = '20200630'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20200101' AND '20200630'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",[{'数量': 9}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '圆信永丰高端制造混合'
        AND 持仓日期 = '20200630'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20200101' AND '20200630'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",True,[{'数量': 9}],True
30,在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '金鹰基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '中期报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 75.0}],"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '金鹰基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '中期报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",True,[{'比例': 75.0}],True
31,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的有几只基金？,"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '季报'
AND 股票名称 = '大亚圣象'
AND 市值占基金资产净值比 * 100 >= 5
LIMIT 1;",[{'数量': 1}],"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '季报'
AND 股票名称 = '大亚圣象'
AND 市值占基金资产净值比 * 100 >= 5
LIMIT 1;",True,[{'数量': 1}],True
32,我想知道在2019年，金信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '金信基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",[{'数量': 3}],"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '金信基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",True,[{'数量': 3}],True
35,请查询在2019年度，603789股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2019%'
AND 股票代码 = '603789'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 1}],"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2019%'
AND 股票代码 = '603789'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",True,[{'天数': 1}],True
36,请查询在2020年度，600076股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2020%'
AND 股票代码 = '600076'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 2}],"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2020%'
AND 股票代码 = '600076'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",True,[{'天数': 2}],True
38,"我想了解一下红土创新基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。","SELECT ROUND(AVG(管理费率), 2) AS 平均管理费率
FROM 基金基本信息
WHERE 管理人 = '红土创新基金管理有限公司'
AND 成立日期 LIKE '2020%'
AND 基金类型 = '混合型'
LIMIT 1;",[{'平均管理费率': 0.6}],"SELECT ROUND(AVG(管理费率), 2) AS 平均管理费率
FROM 基金基本信息
WHERE 管理人 = '红土创新基金管理有限公司'
AND 成立日期 LIKE '2020%'
AND 基金类型 = '混合型'
LIMIT 1;",True,[{'平均管理费率': 0.6}],True
42,"我想了解博时研究优选灵活配置混合(LOF)A基金,在2021年四季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '博时研究优选灵活配置混合(LOF)A'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 3
        LIMIT 1
    )
    AND 交易日 BETWEEN '20211001' AND '20211231'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': -5.39}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '博时研究优选灵活配置混合(LOF)A'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 3
        LIMIT 1
    )
    AND 交易日 BETWEEN '20211001' AND '20211231'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",True,[{'涨跌幅': -5.39}],True
43,我想知道富兰克林国海大中华精选混合(QDII)(美元现汇)在2021年Q2的季报中，该基金的第1大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '富兰克林国海大中华精选混合(QDII)(美元现汇)'
AND 持仓日期 = '20210630'
AND 报告类型 = '季报'
AND 第N大重仓股 = 1
LIMIT 1;",[{'股票代码': '00700'}],"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '富兰克林国海大中华精选混合(QDII)(美元现汇)
AND 持仓日期 = '20210630'
AND 报告类型 = '季报'
AND 第N大重仓股 = 1
LIMIT 1;",False,,False
48,20191231日，宋城演艺在多少只基金的前七大重仓股中？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191231'
AND 股票名称 = '宋城演艺'
AND 第N大重仓股 <= 7
LIMIT 1;",[{'数量': 10}],"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191231'
AND 股票名称 = '宋城演艺'
AND 第N大重仓股 <= 7
LIMIT 1;",True,[{'数量': 10}],True
52,在20190211，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20190211'
AND 行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'一级行业名称': '机械'}],"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20190211'
AND 行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY COUNT(*) DESC
LIMIT 1;",True,[{'一级行业名称': '机械'}],True
53,帮我查一下在2019年，代码为603199的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '603199'
AND 交易日 LIKE '2019%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",[{'天数': 102}],"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '603199'
AND 交易日 LIKE '2019%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",True,[{'天数': 102}],True
54,帮我查一下鹏扬景科混合A基金在20201126的资产净值和单位净值是多少?,"SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '鹏扬景科混合A'
    LIMIT 1
)
AND 交易日期 = '20201126'
LIMIT 1;","[{'资产净值': 668176233.23, '单位净值': 1.1144}]","SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '鹏扬景科混合A'
    LIMIT 1
)
AND 交易日期 = '20201126'
LIMIT 1;",True,"[{'资产净值': 668176233.23, '单位净值': 1.1144}]",True
