问题id,问题,答案,分类
48,20191231日，宋城演艺在多少只基金的前七大重仓股中？,问题：“该基金股票数据库”,SQL
49,读者出版传媒股份有限公司的主要纸张供应商有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
50,2014年大连派思燃气系统股份有限公司经营业绩下降的主要原因是什么？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
51,2005年、2006年和2007年，宁波立立电子股份有限公司所获政府补助计入当期损益的金额分别占当年利润总额的比例是多少？,该问题的描述中没有给出任何关于该基金或股票的信息，因此无法确定它是在该公司的招股说明书中还是在基金股票数据库里。,Text
52,在20190211，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"这个问题的答案应该在""基金股票数据库""中查找。",SQL
53,帮我查一下在2019年，代码为603199的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
54,帮我查一下鹏扬景科混合A基金在20201126的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
55,请问股票代码为301005的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
56,我想知道股票000637在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
57,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,"问题：“请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。”
回答：“基金股票数据库”",SQL
58,帮我查一下在2020年，代码为002868的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
59,森赫电梯股份有限公司的主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
60,多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的多大比例？,该问题的描述不清，无法确定应该在基金的招股说明书中还是在股票数据库中查找答案。请提供更多的上下文信息以便更准确地回答您的问题。,Text
61,请查询：在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,回答：“基金股票数据库”,SQL
62,易方达基金管理有限公司2019年成立了多少基金?,问题：“易方达基金管理有限公司2019年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
63,嘉实基金管理有限公司管理的债券型产品的数量有多少?,问题：“基金股票数据库”,SQL
64,我想知道股票002720在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
65,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,回答：“基金股票数据库”,SQL
66,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
67,森赫电梯股份有限公司是否有技术创新方面的认定称号？是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
68,我想知道2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,回答：“基金股票数据库”,SQL
69,珠海健帆生物科技股份有限公司的哪些产品被认定为广东省高新技术产品？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
70,博时基金管理有限公司管理的股票型产品的数量有多少?,问题：“博时基金管理有限公司管理的股票型产品的数量有多少?” 应该在基金股票数据库中查找答案。,SQL
71,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题应该属于基金股票数据库。,SQL
72,深圳信立泰药业股份有限公司专门的研发机构信立泰技术中心工作人员中，多大比例的人员为本科以上学历？,该问题的答案可能包含在基金的股票数据库中。,Text
73,新疆浩源天然气股份有限公司2012 年1-6 月的营业毛利为多少，综合毛利率为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，新疆浩源天然气股份有限公司的相关财务数据应该可以在该公司的招股说明书中找到。",Text
74,请帮我查询下股票代码为300873的股票在2021年内最高日收盘价是多少？,回答：“基金股票数据库”,SQL
75,请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
76,"在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
77,请查询：在20190510，属于申万二级餐饮行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,该问题需要查询基金股票数据库中的信息。,SQL
78,中国铁路通信信号股份有限公司提供轨道交通控制系统全产业链上的产品及服务，主要业务包括哪些？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
79,"请帮我查询下在2020年, 农银汇理基金管理有限公司管理的债券型基金中，持有过同业存单的基金有多少只？",这个问题应该属于基金股票数据库。,SQL
80,在2021年12月年报(含半年报)中，惠升惠民混合A基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？,回答：“基金股票数据库”,SQL
81,报告期内确成硅化学股份有限公司 _出口退税率为多少？,"该问题的分类应该是""该公司的招股说明书""。",Text
82,2021年年度报告里，凯石基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,问题：“该公司的招股说明书”,Text
83,20200923日，一级行业为建筑的股票的成交量合计是多少？取整。,回答：“基金股票数据库”,SQL
84,除浙江双飞无油轴承股份有限公司外，具有规模的自润滑轴承生产企业还有哪些？,该问题的描述不清，无法确定应该在招股说明书中还是在基金股票数据库中查找答案。请提供更多的上下文信息以便我能更好地回答您的问题。,Text
85,深圳信立泰药业股份有限公司主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
86,请查询在20190115日期，中信行业分类下轻工制造一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,这个问题应该属于基金股票数据库。,SQL
87,查询下基金代码008295的基金，它的管理费率是？,问题：“基金股票数据库”,SQL
88,湖南南岭民用爆破器材股份有限公司的传统市场是哪里？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，湖南南岭民用爆破器材股份有限公司的相关信息应该在它的招股说明书中有所披露。",Text
89,我想知道博远增强回报债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
90,我想知道在2020年，华润元大基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,回答：“基金股票数据库”,SQL
91,广州中海达卫星导航技术股份有限公司收购的对象中海达测绘的全称是什么？截至该次股权收购前，其注册资本为多少？,该问题的答案可以在该公司的招股说明书中找到。,Text
92,"我想了解广发中证央企创新驱动ETF基金,在2020年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
93,根据华瑞电器股份有限公司招股意见书，截至2016年12月31日，宁波胜克总资产为多少万元？,回答：“该公司的招股说明书”,Text
94,近三年，广东银禧科技股份有限公司存货周转率分别是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,该问题的答案可能包含在基金的招募说明书或股票的基本信息中。由于我是一个AI语言模型，无法访问任何实时数据，请您提供更多关于这个问题的信息，这样我才能帮助您找到答案。,Text
96,西安启源机电装备股份有限公司的核心产品铁芯剪切设备的收入比重从2007年度和2009年度分别为多少？,该问题应该属于基金的股票数据库。,Text
97,报告期内，湖南国科微电子股份有限公司2014年度、2015年度、2016年度营业收入和净利润分别较上年增长多大幅度？,该问题应该属于基金的股票数据库。,Text
98,在2021年12月季报中，持有完美世界这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
99,2020年年度报告里，兴业基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,回答：“基金股票数据库”,SQL
100,20200102日，一级行业为建筑的股票的成交金额合计是多少？取整。,回答：“基金股票数据库”,SQL
101,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,"问题：“请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。”
回答：“基金股票数据库”",SQL
102,我想知道浙商汇金中高等级三个月定期开放债券C基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
103,我想知道在2021年，光大保德信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,回答：“基金股票数据库”,SQL
104,我想知道易方达证券保险ETF联接C在2020年Q2的季报中，该基金的第1大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
105,昇兴集团股份有限公司本次发行的拟上市证券交易所是？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
106,2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长多少？,该问题的答案应该在基金的股票数据库中。,Text
107,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。,"问题：“请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。”
回答：“基金股票数据库”",SQL
108,针对2021年的年度报告，有多少家基金的个人投资者持有份额占比不足13%?,回答：“基金股票数据库”,SQL
109,"在20210630的年报(含半年报)中，永赢泽利一年定期开放债券基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
110,查询下基金代码009350的基金，它的管理费率是？,基金股票数据库,SQL
111,平安金管家货币C基金在20210630的季报里，前三大持仓占比的债券名称是什么?,基金股票数据库,SQL
112,上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
113,华瑞电器股份有限公司，宁波胜克2016年度实现净利润为多少万元？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，华瑞电器股份有限公司和宁波胜克的相关信息应该在它们的招股说明书中有所披露。",Text
114,广发景兴中短债债券A基金在20200930且报告类型是季报的持债市值中，哪类债券市值最高？,回答：“基金股票数据库”,SQL
115,我想知道股票600322在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
116,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,休闲服务一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
117,"请帮我查询在2020年,泓德基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
118,请查询在20211125日期，中信行业分类下机械一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,这个问题应该属于基金股票数据库。,SQL
119,20190419日，请给出浦银安盛盛勤3个月定期开放债券C基金的管理人和累计单位净值。,基金股票数据库,SQL
120,帮我查一下在2021年，代码为600571的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
121,在2010年，东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，只有招股说明书中才会包含公司在过去某个时间点的市场占有率数据。",Text
122,在2019年12月年报(含半年报)中，诺安精选价值混合基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？,回答：“基金股票数据库”,SQL
123,在20200424，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,回答：“基金股票数据库”,SQL
124,"请查询：2021年12月年报(含半年报),持有20铜陵有色MTN001且是前10大重仓股的基金有几个？",回答：“基金股票数据库”,SQL
125,报告期内，汉嘉设计集团股份有限公司期末应收账款相对较高的原因是什么？,该问题的描述中未给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法将其分类为上述两类之一。,Text
126,上海真兰仪表科技股份有限公司2020年增资后的投后估值是多少？,该公司的招股说明书,Text
127,请帮我计算，在20190128，申万行业分类划分的一级行业为食品饮料行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,这个问题需要在基金股票数据库中查找答案。,SQL
128,请帮我计算，在20200521，申万行业分类划分的一级行业为采掘行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,这个问题需要在基金股票数据库中查找答案。,SQL
129,截至2020年12月31日，湖南长远锂科股份有限公司的控股股东是谁？通过何种方式持有公司多少股权？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
130,广发稳健增长C基金在20200930的季报里，前三大持仓占比的债券名称是什么?,基金股票数据库,SQL
131,深圳市铁汉生态环境股份有限公司的主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
132,深圳市超频三科技股份有限公司生产产品所需的主要直接材料有哪些？,该问题的描述中没有给出任何关于深圳市超频三科技股份有限公司的信息，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
133,报告期内，确成硅化学股份有限公司对外销售的部分硫酸产品是什么规格？,"该问题的分类应该是""该公司的招股说明书""。",Text
134,森赫电梯股份有限公司与哪些高等教育机构开展合作？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
135,西安启源机电装备股份有限公司董事是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
136,2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是多少？,该问题的答案应该在大博医疗科技股份有限公司的招股说明书中。,Text
137,20201014港股下跌的股票家数有多少家?,基金股票数据库,SQL
138,在20211030，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"这个问题的答案应该在""基金股票数据库""中查找。",SQL
139,在2021年的年度报告里，博道基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"问题：“在2021年的年度报告里，博道基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。”
回答：“基金股票数据库”",SQL
140,南京中电联环保股份有限公司的经营范围是？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
141,"请帮我查询下，在20210907，申万行业分类里一级行业为钢铁行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
142,"我想了解一下富国基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",回答：“基金股票数据库”,SQL
143,"在20211231的年报(含半年报)中，国寿安保中债-3-5年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
144,青海互助青稞酒股份有限公司的主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
145,请查询在2019年度，603078股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
146,湖南国科微电子股份有限公司业务分为哪些产品线？,该问题的分类应该是“该公司的招股说明书”，因为答案可能包含在湖南国科微电子股份有限公司的招股说明书中。,Text
147,请帮我查询下在2020年浙商基金管理有限公司成立的基金中，有多少只基金持仓过可转债债券？,回答：“基金股票数据库”,SQL
148,珠海健帆生物科技股份有限公司的核心技术产品有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
149,湖南长远锂科股份有限公司所属细分子行业是什么？,该问题的答案应该在湖南长远锂科股份有限公司的招股说明书中。,Text
150,"请帮我查询在2020年,中航基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
151,请查询在20190724日期，中信行业分类下房地产一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,这个问题需要查询基金股票数据库中的信息。,SQL
152,帮我查询在2020年12月31日，代码为009704的基金前20大重仓股票中属于中信二级酒类行业的平均市值是多少？小数点后保留不超过3位。,基金股票数据库,SQL
153,招商基金管理有限公司2020年成立了多少基金?,问题：“招商基金管理有限公司2020年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
154,帮我查一下蜂巢添益纯债债券A基金在20210817的资产净值和单位净值是多少?,基金股票数据库,SQL
155,浙江开尔新材料股份有限公司主要消耗的能源是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
156,"请帮我查询在2019年,海富通基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
157,云南沃森生物技术股份有限公司的第一个产品是什么？何时上市？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
158,请查询在20210519日期，中信行业分类下电力设备及新能源一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,回答：“基金股票数据库”,SQL
159,请帮我查询在截止2019-12-31的报告期间，基金总份额降低的基金数量是多少？,问题：“基金股票数据库”,SQL
160,湖南南岭民用爆破器材股份有限公司技术中心现有多少研发人员？其中具有高级职称和中级职称的人员分别有多少人？,该问题的答案可能包含在基金的股票数据库中。,Text
161,请列出国泰基金管理有限公司在2020年成立并且托管人为中国邮政储蓄银行股份有限公司的所有基金的基金托管费率的平均数。,回答：“基金股票数据库”,SQL
162,请帮我查询出20201020日，电力及公用事业一级行业涨幅超过5%（不包含）的股票数量。,"这个问题应该归为""基金股票数据库""类别。",SQL
163,常熟风范电力设备股份有限公司的主营业务是什么？ 是否在报告期内发生重大变化？,"该问题的答案可能包含在常熟风范电力设备股份有限公司的招股说明书中。因此，答案属于""该公司的招股说明书""类别。",Text
164,联化科技股份有限公司目前的主要产品是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
165,依据招股意向书，常熟风范电力设备股份有限公司本次发行股票数量是多少？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
166,请查询在2019年度，002093股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
167,在2021年的中期报告里，中信证券股份有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"问题：“在2021年的中期报告里，中信证券股份有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。”
回答：“基金股票数据库”",SQL
168,我想知道鹏扬添利增强债券A基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
169,根据大连派思燃气系统股份有限公司招股意向书，预计到2030年，天然气发电用气在天然气消费结构中的比例将上升到多少？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
170,请列出平安基金管理有限公司在2019年成立并且托管人为兴业银行股份有限公司的所有基金的基金托管费率的平均数。,回答：“基金股票数据库”,SQL
171,青海互助青稞酒股份有限公司主要困难是什么？,该问题的描述类别最适合于在该公司的招股说明书中寻找答案。,Text
172,广州中海达卫星导航技术股份有限公司的子公司中海达测绘的主营业务是什么？,该问题的答案可以在该公司的招股说明书中找到。,Text
173,"请帮我查询在2020年,信达澳亚基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
174,兰州海默科技股份有限公司的主营业务有何季节性特征？,该问题最好被描述为“该公司的招股说明书”类别，因为兰州海默科技股份有限公司的业务特征在其招股说明书中可能会有详细的描述。,Text
