问题,SQL,SQL结果,答案
请查询在2020年度，605122股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2020%'
AND 股票代码 = '605122'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 0}],在2020年度，605122股票涨停天数是0天。
在2019年报中，万家社会责任18个月定期开放混合(LOF)A基金第七大重仓股的代码和股票名称是什么？,"SELECT 股票代码, 股票名称
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '万家社会责任18个月定期开放混合(LOF)A'
AND 第N大重仓股 = 7
LIMIT 1;","[{'股票代码': '300136', '股票名称': '信维通信'}]",在2019年报中，万家社会责任18个月定期开放混合(LOF)A基金第七大重仓股的代码是300136，股票名称是信维通信。
请查询在2019年度，300616股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2019%'
AND 股票代码 = '300616'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 1}],在2019年度，300616股票涨停天数是1天。
请查询：在2019的中期报告中，个人投资者持有基金份额小于机构投资者持有基金份额的基金属于债券型类型的有几个。,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2019
    AND 报告类型 = '中期报告'
    AND 个人投资者持有的基金份额 < 机构投资者持有的基金份额
)
AND 基金类型 = '债券型'
LIMIT 1;",[{'数量': 171}],在2019的中期报告中，个人投资者持有基金份额小于机构投资者持有基金份额的基金属于债券型类型的有171个。
20211129日，None一级行业有多少只A股股票？,"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20211129'
AND 一级行业名称 = 'None'
LIMIT 1;",[{'数量': 0}],20211129日，None一级行业有0只A股股票。
股票600419在20210601日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND([收盘价(元)], 3) AS 收盘价
FROM A股票日行情表
WHERE 股票代码 = '600419'
AND 交易日 = '20210601'
LIMIT 1;",[{'收盘价': 13.99}],股票600419在20210601日期中的收盘价是13.990元。
"在20210630的年报(含半年报)中，前海开源弘丰债券A基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT 债券类型
FROM 基金债券持仓明细
WHERE 持仓日期 = '20210630'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '前海开源弘丰债券A'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '金融债券'}],"在20210630的年报(含半年报)中，前海开源弘丰债券A基金的债券持仓,其持有最大仓位的债券类型是金融债券。"
20210616日，一级行业为房地产的股票的成交量合计是多少？取整。,"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210616'
AND t2.一级行业名称 = '房地产'
LIMIT 1;",[{'成交量合计': 3252391570}],20210616日，一级行业为房地产的股票的成交量合计是3252391570股。
20211117日，一级行业为电子的股票的成交金额合计是多少？取整。,"SELECT CAST(SUM([成交金额(元)]) AS INTEGER) AS 成交金额合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20211117'
AND t2.一级行业名称 = '电子'
LIMIT 1;",[{'成交金额合计': 239839118046}],20211117日，一级行业为电子的股票的成交金额合计是239839118046元。
请帮我计算：在20190506，日收益率为负的港股股票有几个。,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20190506'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 2439}],在20190506，日收益率为负的港股股票有2439个。
帮我查询在2021年12月31日，代码为008604的基金前28大重仓股票中属于申万二级化学制品行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(市值), 3) AS 平均市值
FROM 基金股票持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.持仓日期 = '20211231'
AND t1.基金代码 = '008604'
AND t1.第N大重仓股 <= 28
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '化学制品'
LIMIT 1;",[{'平均市值': 8192319.75}],在2021年12月31日，代码为008604的基金前28大重仓股票中属于申万二级化学制品行业的平均市值是8192319.750。
请帮我计算，在20200617，中信行业分类划分的一级行业为家电行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200617'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '家电'
ORDER BY 涨跌幅 DESC
LIMIT 1;","[{'股票代码': '002705', '涨跌幅': 4.97}]",在20200617，中信行业分类划分的一级行业为家电行业中，涨跌幅最大股票的股票代码是002705，涨跌幅是4.97%。
"在20211231的年报(含半年报)中，永赢开泰中高等级中短债债券A基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT 债券类型
FROM 基金债券持仓明细
WHERE 持仓日期 = '20211231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '永赢开泰中高等级中短债债券A'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '中期票据'}],"在20211231的年报(含半年报)中，永赢开泰中高等级中短债债券A基金的债券持仓,其持有最大仓位的债券类型是中期票据。"
2019年年度报告里，浙商基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者少的基金有多少只?,"SELECT COUNT(*) AS 数量
FROM 基金份额持有人结构
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '浙商基金管理有限公司'
)
AND 定期报告所属年度 = 2019
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额 < 个人投资者持有的基金份额
LIMIT 1;",[{'数量': 6}],2019年年度报告里，浙商基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者少的基金有6只。
20201126日，请给出汇安嘉汇纯债债券C基金的管理人和单位净值。单位净值保留两位小数。,"SELECT t1.管理人, ROUND(t2.单位净值, 2) AS 单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '汇安嘉汇纯债债券C'
AND t2.交易日期 = '20201126'
LIMIT 1;","[{'管理人': '汇安基金管理有限责任公司', '单位净值': 1.04}]",20201126日，汇安嘉汇纯债债券C基金的管理人是汇安基金管理有限责任公司，单位净值是1.04元。
请帮我查询在截止2021-09-30的基金定期报告中，期末基金总份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2021-09-30%'
AND 报告类型 = '基金定期报告'
AND 报告期期末基金总份额 = 0
LIMIT 1;",[{'数量': 23}],在截止2021-09-30的基金定期报告中，期末基金总份额为零的基金有23个。
在2020年6月季报中，持有郑煤机这一股票且市值占基金资产净值比不小于6%的有几只基金？,"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20200630'
AND 报告类型 = '季报'
AND 股票名称 = '郑煤机'
AND 市值占基金资产净值比 * 100 >= 6
LIMIT 1;",[{'数量': 0}],在2020年6月季报中，持有郑煤机这一股票且市值占基金资产净值比不小于6%的有0只基金。
请查询在20210524日期，申万行业分类下纺织服装一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210524'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '纺织服装'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",[{'股票代码': '300888'}],在20210524日期，申万行业分类下纺织服装一级行业中，当日收盘价波动最大的股票代码是300888。
我想知道汇添富沪深300指数增强A在2021年Q4的季报中，该基金的第3大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '汇添富沪深300指数增强A'
AND 持仓日期 = '20211231'
AND 报告类型 = '季报'
AND 第N大重仓股 = 3
LIMIT 1;",[{'股票代码': '603588'}],汇添富沪深300指数增强A在2021年Q4的季报中，该基金的第3大重仓股的代码是603588。
在2021年报中，工银瑞信聚和一年定期开放混合A基金第五大重仓股的代码和股票名称是什么？,"SELECT 股票代码, 股票名称
FROM 基金股票持仓明细
WHERE 持仓日期 = '20211231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '工银瑞信聚和一年定期开放混合A'
AND 第N大重仓股 = 5
LIMIT 1;","[{'股票代码': '000429', '股票名称': '粤高速A'}]",在2021年报中，工银瑞信聚和一年定期开放混合A基金第五大重仓股的代码是000429，股票名称是粤高速A。
易方达中债7-10年期国开行债券指数C基金在20200930的季报里，前七大持仓占比的债券名称是什么?,"SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '易方达中债7-10年期国开行债券指数C'
AND 持仓日期 = '20200930'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 7;","[{'债券名称': '19国开15'}, {'债券名称': '18国开10'}, {'债券名称': '18国开05'}, {'债券名称': '19国开10'}, {'债券名称': '19国开05'}]",易方达中债7-10年期国开行债券指数C基金在20200930的季报里，前七大持仓占比的债券名称是19国开15、18国开10、18国开05、19国开10、19国开05。
查询下基金代码010069的基金，它的管理费率是？,"SELECT 管理费率
FROM 基金基本信息
WHERE 基金代码 = '010069'
LIMIT 1;",[{'管理费率': '0.6%'}],基金代码010069的基金，它的管理费率是0.6%。
在2020年报中，工银瑞信产业升级股票C基金第二大重仓股的代码和股票名称是什么？,"SELECT 股票代码, 股票名称
FROM 基金股票持仓明细
WHERE 持仓日期 = '20201231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '工银瑞信产业升级股票C'
AND 第N大重仓股 = 2
LIMIT 1;","[{'股票代码': '600486', '股票名称': '扬农化工'}]",在2020年报中，工银瑞信产业升级股票C基金第二大重仓股的代码是600486，股票名称是扬农化工。
请问2019年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2019-06-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 250, '净申购份额': 40784212401.97}]",2019年二季度有250家基金是净申购，它们的净申购份额加起来是40784212401.97份。
20210324港股上涨的股票家数有多少家?,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20210324'
AND [收盘价(元)] > [昨收盘(元)]
LIMIT 1;",[{'数量': 522}],20210324港股上涨的股票家数有522家。
针对2021年的中期报告，有多少家基金的机构投资者持有份额占比不足71%?,"SELECT COUNT(基金代码) AS 数量
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2021
AND 报告类型 = '中期报告'
AND 机构投资者持有的基金份额占总份额比例 < 71
LIMIT 1;",[{'数量': 2981}],针对2021年的中期报告，有2981家基金的机构投资者持有份额占比不足71%。
20200216日，电气设备一级行业有多少只A股股票？,"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20200216'
AND 一级行业名称 = '电气设备'
LIMIT 1;",[{'数量': 258}],20200216日，电气设备一级行业有258只A股股票。
"我想了解招商资管智远成长灵活配置混合A基金,在2021年二季度的季报第1大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '招商资管智远成长灵活配置混合A'
        AND 持仓日期 = '20210630'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 1
        LIMIT 1
    )
    AND 交易日 BETWEEN '20210401' AND '20210630'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': -16.9}],"招商资管智远成长灵活配置混合A基金,在2021年二季度的季报第1大重股当个季度的涨跌幅是-16.90%。"
请帮我计算，在20190430，中信行业分类划分的一级行业为农林牧渔行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190430'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '农林牧渔'
ORDER BY 涨跌幅 DESC
LIMIT 1;","[{'股票代码': '600127', '涨跌幅': 10.06}]",在20190430，中信行业分类划分的一级行业为农林牧渔行业中，涨跌幅最大股票的股票代码是600127，涨跌幅是10.06%。
请问在建材行业，20191111行业的A股公司有多少?,"SELECT COUNT(DISTINCT(股票代码)) AS 数量
FROM A股公司行业划分表
WHERE 一级行业名称 = '建材'
AND 交易日期 = '20191111'
LIMIT 1;",[{'数量': 94}],在建材行业，20191111行业的A股公司有94间。
"假定股票'日波动值'计算公式为：'日波动值' = 日最高价-日最低价。请帮我查询下在2019年，中信行业分类行业划分标准,煤炭一级行业中，股票日均波动值最小的股票对应的股票代码是？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2019%'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '煤炭'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[最高价(元)] - t1.[最低价(元)]) ASC
LIMIT 1;",[{'股票代码': '600575'}],"在2019年，中信行业分类行业划分标准,煤炭一级行业中，股票日均波动值最小的股票对应的股票代码是600575。"
我想知道在20210930的季报里，华夏国证半导体芯片ETF联接C投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20210930'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '华夏国证半导体芯片ETF联接C';","[{'一级行业名称': '电子'}, {'一级行业名称': '电气设备'}]",在20210930的季报里，华夏国证半导体芯片ETF联接C投资的股票分别是电子、电气设备申万一级行业。
20200317日，请给出华夏创业板低波价值ETF联接A基金的管理人和单位净值。单位净值保留两位小数。,"SELECT t1.管理人, ROUND(t2.单位净值, 2) AS 单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '华夏创业板低波价值ETF联接A'
AND t2.交易日期 = '20200317'
LIMIT 1;","[{'管理人': '华夏基金管理有限公司', '单位净值': 1.21}]",20200317日，华夏创业板低波价值ETF联接A基金的管理人是华夏基金管理有限公司，单位净值是1.21元。
20201026日，请给出同泰慧择混合C基金的管理人和单位净值。单位净值保留两位小数。,"SELECT t1.管理人, ROUND(t2.单位净值, 2) AS 单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '同泰慧择混合C'
AND t2.交易日期 = '20201026'
LIMIT 1;","[{'管理人': '同泰基金管理有限公司', '单位净值': 1.11}]",20201026日，同泰慧择混合C基金的管理人是同泰基金管理有限公司，单位净值是1.11元。
请查询：在20191011，属于中信二级普钢行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20191011'
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '普钢'
LIMIT 1;",[{'平均成交金额': 52379799.14815}],在20191011，属于中信二级普钢行业的A股股票，它们的平均成交金额是52379799.14815元。
请查询：在20200529，属于中信二级装饰材料行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200529'
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '装饰材料'
LIMIT 1;",[{'平均成交金额': 120133829.90909}],在20200529，属于中信二级装饰材料行业的A股股票，它们的平均成交金额是120133829.90909元。
圆信永丰基金管理有限公司管理的混合型产品的数量有多少?,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '圆信永丰基金管理有限公司'
AND 基金类型 = '混合型'
LIMIT 1;",[{'数量': 13}],圆信永丰基金管理有限公司管理的混合型产品的数量13个。
请查询在2019年度，605588股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2019%'
AND 股票代码 = '605588'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 0}],在2019年度，605588股票涨停天数是0天。
请列出平安基金管理有限公司在2020年成立并且托管人为上海银行股份有限公司的所有基金的基金托管费率的平均数。,"SELECT AVG(托管费率) AS 平均托管费率
FROM 基金基本信息
WHERE 管理人 = '平安基金管理有限公司'
AND 托管人 = '上海银行股份有限公司'
AND 成立日期 LIKE '2020%'
LIMIT 1;",[{'平均托管费率': 0.1}],平安基金管理有限公司在2020年成立并且托管人为上海银行股份有限公司的所有基金的基金托管费率的平均数是0.1%。
针对2019年的年度报告，有多少家基金的个人投资者持有份额占比不足35%?,"SELECT COUNT(基金代码) AS 数量
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2019
AND 报告类型 = '年度报告'
AND 个人投资者持有的基金份额占总份额比例 < 35
LIMIT 1;",[{'数量': 530}],针对2019年的年度报告，有530家基金的个人投资者持有份额占比不足35%。
我想知道2021年的年度报告中，机构投资者持有的份额占比超过97%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(*) AS 数量, ROUND(SUM(机构投资者持有的基金份额), 2) AS 持有份额
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2021
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额占总份额比例 > 97
LIMIT 1;","[{'数量': 965, '持有份额': 2493936942727.12}]",2021年的年度报告中，机构投资者持有的份额占比超过97%的基金有965只，并且他们总共持有了2493936942727.12份。
20191230港股上涨的股票家数有多少家?,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20191230'
AND [收盘价(元)] > [昨收盘(元)]
LIMIT 1;",[{'数量': 1298}],20191230港股上涨的股票家数有1298家。
诺德基金管理有限公司管理的债券型产品的数量有多少?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '诺德基金管理有限公司'
AND 基金类型 = '债券型'
LIMIT 1;",[{'数量': 5}],诺德基金管理有限公司管理的债券型产品的数量有5只。
在2021年的中期报告里，中庚基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '中庚基金管理有限公司'
    )
    AND 定期报告所属年度 = 2021
    AND 报告类型 = '中期报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 100.0}],在2021年的中期报告里，中庚基金管理有限公司管理的基金中，有100.00%的基金是个人投资者持有的份额超过机构投资者。
请查询：在2020的年度报告中，个人投资者持有基金份额小于机构投资者持有基金份额的基金属于货币型类型的有几个。,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 < 机构投资者持有的基金份额
)
AND 基金类型 = '货币型'
LIMIT 1;",[{'数量': 31}],在2020的年度报告中，个人投资者持有基金份额小于机构投资者持有基金份额的基金属于货币型类型的有31个。
20200414日，开盘价较上一交易日收盘价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(*) AS 数量
FROM A股票日行情表 t1 JOIN A股票日行情表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = '20200414'
AND t2.交易日 = (
    SELECT MAX(交易日)
    FROM A股票日行情表
    WHERE 交易日 < '20200414'
    LIMIT 1
)
AND t1.[今开盘(元)] > t2.[收盘价(元)]
LIMIT 1;",[{'数量': 2411}],20200414日，开盘价较上一交易日收盘价高的股票有2411只。
